Company,Sector,Headquarters,Amount,Funding_Round_Type,Lead_Investors
Perceptyne,Deep Tech AI & Robotics,Telangana,$3 million,Seed Round,"Endiya Partners, Yali Capital, Whiteboard Capital"
Frammer AI,Video Content Creation,New Delhi,$2 million,New Funding Round,Lumikai
Febi.ai,Accounting & Tax Management SaaS,Gurgaon,$2 million,Pre-Series A Round,"Lumis Partners, Virender Rana, Amit Chaudhary (Lenskart), Rohan Bhargava (Cashkaro)"
Nayan Tech,AI for Smart City Solutions,New Delhi,$2 million,Pre-Series A Round,"BEENEXT, We Founder Circle, Venture Catalysts, Lets Venture, FAAD Capital"
Data Science Wizards,AI Innovation,Mumbai,$1.4 million,Seed Round,Not disclosed
Sorich,Pharmaceutical Packaging,New Delhi,$1 million,Pre-IPO Funding,BizDateUp
Elixia Robotics,Logistics Automation,Mumbai,$1 million,Pre-Series A Round,JITO Incubation and Innovation Foundation (JIIF)
Tablesprint,No-Code App Builder,Pune,$1 million,Seed Round,"Angel Investors (Ankit Bhati, Ajeet Khurana, etc.)"
Holiday Tribe,Travel-Tech,Delhi,Rs 5.4 crore,Seed Round,"Powerhouse Ventures, GSF, Dinesh Agarwal (IndiaMart), Murugavel Janakiraman (BharatMatrimony)"
Lifechart,Gut Wellness,Gurugram,"$500,000",New Funding Round,"Prajay Advisors LLP, Angel Investors"
iRasus Technologies,Energy Analytics,Gurugram,Rs 4 crore,Seed Round,"Rohit Rajput, Srikar Reddy (IAN Angel), DFAN, Other Angel Investors"
Flutrr,Vernacular Dating App,Kolkata,Rs 3.75 crore,Investment in Startup,Zee Media
Social Hardware,Assistive Devices,Bengaluru,Rs 3.2 crore,Seed Round,"Inflection Point Ventures, Ivyleague Ventures, Soonicorn Ventures"
Alchemyst AI,Gen-AI SaaS,Mumbai,"$300,000",Pre-Seed Round,"Inflection Point Ventures, 100Unicorns, Early Seed Ventures"
Beaute Secrets,Beauty Tools,Gurugram,Rs 1.6 crore,Cash Flow Financing,Velocity (Cash Flow Financing Platform)
Millenium Babycares,Hygiene care,Indore,Rs 120 crore,Private Placement Round,Bharat Value Fund
Economy Process Solutions,Vacuum systems and process equipment,Mumbai,Rs 100 crore ($12 million),Series A,Stakeboat Capital Fund II
Urja Mobility,EV Battery Leasing,New Delhi,Rs 100 crore ($12 million),Pre-Series A,Hindon Mercantil and Mufin Green Finance
Bio Prime,Agribiotech,Pune,$6 million,Series A,"Edaphon, Omnivore, Inflexor"
Swara Fincare,NBFC,New Delhi,Rs 19.4 crore ($2.3 million),Series A,Serica Angel Fund and UC Impower
Figr,Product Design,Bengaluru,$2.25 million,Series A,"Antler, Golden Sparrow, individual investors, and Kalaari Capital"
ZenStatement,Finance Automation and Cash Flow Management,Bengaluru,$1.62 million,Investment Round,"3One4 Capital, Boldcap VC, Atrium Angels"
Sports For Life,Sports Academies,Bengaluru,$1.1 million,Seed Round,"Roots Ventures, ML Tondon and Sons HUF and Blume Ventures"
Datazip,Data Engineering,Bengaluru,$1 million,Seed Round,Equirus InnovateX Fund
Onlygood ai,,,"Rs 4 crore (approx $500,000)",Seed Round,"Goel Group, IIT Madras Incubation Cell (IITMIC), and Daimler India Commercial Vehicles (DICV)"
Mstack Chemicals,Chemical manufacturing,"Houston, TX, United States",$40 million,Series A,Lightspeed and Alphawave
Waycool,Agriculture supply chain,Chennai,Rs 100 crore ($12 million approx.),Debt Financing,Grand Anicut
BASIC Home Loan,Mortgage distribution,Gurgaon,$10.6 million,Series B,"Bertelsmann India Investments, CE-Ventures, Gruhas, 9 Unicorns, and others"
Lissun,Healthtech,Gurugram,$2.5 million,Pre-Series A,RPSG Capital Ventures
Zintlr,SaaS,Bengaluru,$1 million,Seed Round,Om Jain
Conscious Chemist,Beauty Commerce,Delhi,$1.4 million,Venture Round,Atomic Capital
Aikenist,HealthTech,Bengaluru,Undisclosed,Seed Round,Venture Catalysts
FermionIC Design,Semiconductor,Bengaluru,$6 million,Seed Round,Ashish Kacholia
IG Drones,DroneTech,Delhi,$1 million,Seed Round,India Accelerator
Troo Good,FMCG,Hyderabad,$8.6 million,Equity Round,Oaks Asset Management
Clayco Cosmetics,Beauty Commerce,Mumbai,$2 million,Series A,Unilever Ventures
Secret Alchemist,Wellness,Mumbai,$5 million,Seed Round,Samantha Prabhu
Str8bat,SportsTech,Bengaluru,$3.5 million,Series A,Exfinity Venture Partners
OnCare,HealthTech,Gurugram,$1 million,Seed Round,Huddle Ventures
Furnishka,Manufacturing,Bengaluru,$3.2 million,Pre-Series A,IndiaQuotient
ZEVO,EV,Delhi,$2 million,Pre-Series A,BizDateUp
Ai Health Highway,HealthTech,Bengaluru,$1 million,Seed Round,Turbostart
True Balance,LendingTech,Gurugram,$2.4 million,Debt,VentureSoul Partners
Digilogic Systems India,AeroSpace,Hyderabad,Undisclosed,Undisclosed Round,Negen Capital
SanchiConnect,DeepTech,Noida,Undisclosed,Undisclosed Round,"Baring PE India, Seafund, 8X"
Sugar.fit,HealthTech,Bengaluru,Undisclosed,Strategic Round,Sachin Tendulkar
Curefoods Raises,Cloud Kitchen,Bengaluru,$9.6 million,,Binny and Jitender Kumar Bansal
Qure.ai,Healthtech,Mumbai,$65 million,Series D,Lightspeed and 360One Asset
Care.fi,Fintech,Bengaluru,Rs 8 Cr,Debt Funding,Wint Wealth and Caspian
Nurix AI,AI,Bengaluru,$27.5 million,Series A,"General Catalyst﻿, Accel, and Meraki Labs"
Atlys,Visa Processing,Mumbai,$20 million,Series B,Peak XV Partners and Elevation Capital
Aarna.ml,AI,Bengaluru,$6.7 million,,Exfinity Venture Partners
Two Point O Capital,Financing Platform,Mumbai,$6.3M,Seed Funding,Omnivore
Ahammune Biosciences,Biotech,Pune,$5M,Series A,pi Ventures
Sharang Shakti,RoboTech,$0.7 million,Noida,Pre-Seed,AUM Ventures and Venture Highway
Kapiva,Ayurvedic,$10 million,Mumbai,Series C,OrbiMed Asia
Atlys,SaaS,$20 million,New Delhi,Series B,Peak XV Partners and Elevation Capital
Tuco Intelligent,Personal Care,$2 million,Bengaluru,Seed Round,Fireside Ventures and Whiteboard Capital
Pepsales,SaaS,$1.1 million,San Francisco,Pre-Seed,Chiratae Ventures
CoRover.ai,DairyTech,$4 million,Bengaluru,Series A,Venture Catalysts
Oright,LegalTech,$1 million,Gurugram,Seed Round,Aeravti Ventures
jhana.ai,HRTech,$1.6 million,Bengaluru,Seed Round,Girish Mathrubootham
Atomicwork,BioTech,$3 million,San Francisco,Seed Round,"Strom Ventures, Blume Ventures and Neon Fund"
Flent,PropTech,0.8M,Bengaluru,Pre-Seed,WEH Ventures
AdOnMo,AdTech,25M,Hyderabad,Undisclosed Round,Sinar Mas and Rigel Capital
The Health Factory,FoodTech,3.5M,Mumbai,Seed Round,Peak XV Partner’s accelerator program Surge
Homelane,SaaS,27M,Bengaluru,Undisclosed Round,Hero Enterprise
Giva,FashionTech,12M,Bengaluru,Series B,Premji Invest
Uppercase,E-commerce,9M,Mumbai,Series B,Accel
Vedantu,EduTech,2.3M,Bengaluru,Equity Round,Stride Ventures
First Coffee,FoodTech,1.2M,New Delhi,Seed Round,BEENEXT
Whatfix,SaaS,,$100 million,Primary & Secondary Funding,"Sweet Nectar Investments (Warburg Pincus), SoftBank"
M2P Fintech,API Infrastructure,,Rs 417.5 crore ($50M),Series C Round,Taj Investment Holdings
Onsurity,Healthcare - Employee Benefits,,$45 million,Series B Round,"Creaegis, International Finance Corporation, Quona Capital, Nexus Venture Partners"
Redcliffe Labs,Diagnostics - Healthcare,,$42 million,Series C Round,"IFU, LeapFrog, HealthQuad, Spark Growth Ventures"
Everest Fleet,Mobility,,Rs 251.7 crore ($30M),Series C Round,Uber
Aye Finance,Microlending,,Rs 250 crore ($30M),Series G Round,ABC Impact
Way2News,Hyperlocal News,,$14 million,New Round,"WestBridge Capital, Sashi Reddi"
Kaleidofin,Fintech,,$13.8 million,New Round,"Rabo Partnerships B.V., Michael & Susan Dell Foundation, Oikocredit, Omidyar Network"
DailyObjects,D2C - Tech Accessories,,Rs 86 crore ($10M),New Funding Round,360 One Ventures
e6data,Data Infrastructure,,$10 million,New Round,"Accel, Beenext"
Vahan.ai,Blue Collar Recruitment,,$10 million,Series B Round,"Khosla Ventures, Y Combinator, Gaingels, Vijay Shekhar Sharma"
NowPurchase,SaaS,,$6 million,Equity & Debt Round,"Info Edge Ventures, Orios Ventures, 100 Unicorns, VC Grid"
GrayQuest,Fintech,,Rs 53 crore ($6M),Series B Round,"Pravega Fund, IIFL Fintech Fund"
Schmooze,Dating App,,$4 million,New Round,"Elevation Capital, Ultrahuman Founders, The Souled Store Founders, Paytm Founders"
AltiusHub,Manufacturing Supply Chain,,$2.25 million,Seed Round,Endiya Partners
Proxgy,Deeptech - Smart Assistance,,$2.2 million,Funding Round,"Manish Patel, Nikhil Kamath, Suniel Shetty, Kuldeep Mathur"
Bluecopa,FinOps Automation,,$1.8 million,Pre-Series A,"Blume Ventures, Dallas Venture Capital, Venture Catalysts"
Newmi Care,Women's Health & Wellness,,$1.5 million,Seed Round,"Sprout Venture Partners, Family Office, LetsVenture, Sarcha Advisors, Key Ventures"
TechJockey,Software Marketplace,,Rs 7.40 crore,Strategic Stake Acquisition,Cricketer Rishabh Pant
Bookmybai,Domestic Help Services,,Rs 2 crore,Pre-Series A,Inflection Point Ventures
Billion Hearts Software Technologies,Tech,,~$250K,Angel Round,"Founders of redBus, Ola, InMobi, Myntra"
Kaatil,Hot Condiments,,Undisclosed,Seed Round,"Prajay Advisors, Shivaan Ghai, Romil Ratra"
Venttup,Industries 5.0,,Undisclosed,Seed Round,Unicorn India Ventures
PhysicsWallah,EdTech,,$210 million,Series B,"Hornbill Capital, Westbridge Capital, and Lightspeed Venture Partners"
Big Bang Boom,Defence,,Rs 250 crore ($30 million),Funding Round (Undisclosed),"Mumbai Angels Network, Vyom Family Office, SBI, Asquare Investing, and others"
Elivaas,Villa and apartment management,,$5 million,Series A,"3one4 Capital, Peak XV's Surge, and other angel investors"
Drip Capital,Fintech,"Palo Alto, US",$113 million,Equity & Debt,"GMO Payment Gateway, SMBC"
InMobi,Mobile Advertising - Software,Bengaluru,$100 million,Debt Financing,MARS Growth Capital (MUFG and Liquidity Group)
FlexiLoans,MSME-Focused Fintech,Mumbai,Rs 290 crore ($35M),Series C,"Accion, Nuveen, Fundamentum, Maj Invest"
Centricity,Wealthtech,Gurugram,$20 million,Seed Round,"Lightspeed, Paramark VC, Burman Family Office, MS Dhoni Family Office"
AppsForBharat,Devotional App - Tech,Bengaluru,$18 million,Series B,"Fundamentum, Susquehanna Asia VC, Elevation Capital, Peak XV, Mirae Asset VC"
Nestasia,Home Decor - D2C,Kolkata,$8.35 million,Funding Round,"Susquehanna Asia VC, Stellaris Venture Partners, Angels"
Clean Electric,Energy Storage,Pune,$6 million,Series A,"Info Edge Ventures, Pi Ventures, Kalaari Capital, Lok Capital"
Dharaksha Ecosolutions,Biotech,New Delhi,Rs 24.8 crore ($2.95M),Seed Round,Avaana Capital
Mitra,FMCG - D2C,Mumbai,Rs 11 crore,Pre-Series A,"Bestvantage Investments, Dubai-based Family Office"
Exposome,Clean-tech,Mumbai,Rs 10 crore,Pre-Series A,"Colossa Ventures, 3i Partners, Bhukhanvala Holdings, Excel Industries, Spectrum Impact"
Zivy,AI - Workplace Solutions,Bengaluru,$1.2 million,Pre-seed Round,"Blume Ventures, Paradigm Shift Capital, iSeed, Everywhere Ventures"
GameEon,Gaming - Game Development,Mumbai,$1 million,Funding Round,"SucSEED Indovation Fund, ICE VC, IAN, CD EQUIFINANCE, Nexus Global Opportunities Fund"
Wundrsight,Digital Therapeutics,Bengaluru,$400K,Seed Round,"Inflection Point Ventures, Social Alpha"
Supersquad,Creator Monetization,Mumbai,Rs 2.1 crore,Funding Round,"WLDD, Nitin Rajput, Jivraj Singh Sachar"
Trisu,Jewelry - D2C,Jaipur,-,Pre-seed Round,"All In Capital, JK Tyres, Amaanta Group, Angel Investors"
Omnivore,Agritech,Mumbai,$5 million,Funding Round,Proparco
Futwork,Call-center Solutions,Mumbai,Rs 20.9 crore ($2.5 million),Series A,"Michael & Susan Dell Foundation, Artha Ventures, Simile Capital"
Track3D,Ai Construction Industry,-,$4.3 million,Seed Round,"Endiya Partners, Shadow Ventures, Monta Vista Capital"
Crackle Technologies,Adtech,Delhi,$1.7 million,Pre-seed Round,We Founder Circle and AC Ventures
Arnya Real Estate,Real Estate,Raipur,Rs 375 crore,Debt Fund,-
Transcell Biologics,Biotech,Hyderabad,-,-,Quantiphi and IAN Group
Rapido,Bike-Taxi Aggregator,Bengaluru,$200 million,Series E,"WestBridge Capital, Nexus Venture Partners, Think Investments, Invus Opportunities"
Blue Tokai,Coffee and Bakery,Gurugram,$35 million,Series C,"Verlinvest, Anicut Capital, A91 Partners"
Clean Electric,Energy Storage,Pune,Rs 48.5 crore,Series A,"Info Edge, Pi Ventures, Kalaari Capital, Angel Investors"
Nutrabay,D2C Retail,New Delhi,$5 million,Series A,"RPSG Capital Ventures, Kotak Alternate Asset Managers"
The Hosteller,Backpacker Hostel,Mumbai,Rs 32 crore,Series A,"V Cube Ventures, LetsVenture Angel Fund, Angelist, Others"
RecommerceX,Chemical Recycling,Noida,$3.6 million,Seed Round,"Accel, Kae Capital"
Invest4Edu,Edtech,Mumbai,$3 million,Seed Round,Family Offices
Global Care,Medical Tourism,Gurugram,$3 million,Series A,35North India Discovery Fund – II
BigEndian Semiconductors,Semiconductors,Bengaluru,$3 million,Funding Round,Vertex Ventures SEA & India
TruNativ,Nutrition,Mumbai,Rs 25 crore,Funding Round,Rainmatter Capital
Theater,Fashion,Chandigarh,$1.5 million,Pre-Series A,"Prath Ventures, Existing Angel Investors"
Spolto,Sports-Tech,Pune,$1 million,Seed Round,"Andrew Johnston, Others"
Valyx,B2B Financial Management,Bengaluru,$800K,Pre-Seed Round,"Huddle Ventures, Waveform Ventures, Bharat Founders Fund, Propell Fund"
Boson Whitewater,Water Recycling,Bengaluru,Rs 10 crore,Equity Funding,Rainmatter
Mytek Innovations,Manufacturing,Mumbai,Rs 6 crore,Debt Funding,-
LiaPlus AI,Customer Support Solutions,New Delhi,Rs 2 crore,Seed Round,"Inflection Point Ventures, Chandigarh Angel Network, Growth91"
ReCircle,Cleantech,Mumbai,-,Bridge Funding Round,"Venture Catalysts, Mumbai Angels, HNIs"
Nautical Wings,Aerospace,Bengaluru,-,Pre-Series A,"Venture Catalysts, 1Crowd"
0xPPL,Social Networking - Blockchain,Bengaluru,-,Strategic Funding Round,"AllianceDAO, Anagram, Peak XV Partners"
Sunsure Energy,Renewable Energy,Haryana,Rs 226 crore,Debt Financing,Tata Capital
Plan B,D2C Kids Innerwear,Mumbai,-,Funding Round,JITO Incubation and Innovation Foundation
Zepto,Quick Commerce,Mumbai,$340 million,Follow-on Financing Round,"General Catalyst, Dragon Fund, Epiq Capital"
Servify,Post-sales Services,Mumbai,Rs 84 crore,Series D,"Bajaj Holdings, Trifecta, Innoven Capital"
Pilgrim,Beauty and Personal Care,Mumbai,Rs 75 crore,Extended Series B,"Fireside, Vertex Ventures"
Aroa Venture Partners,Investment Fund,Gurgaon,Rs 40 crore,Capital Commitment,"SIDBI, UP Government's Fund"
Legends League Cricket (LLC),Sports,Delhi,Rs 39 crore,Equity Round,Brickwork
HouseEazy,Real Estate,Noida,Rs 33.5 crore,Series A,"Chiratae Ventures, Veena Jindal, Antler, IA"
LoanKuber,Financial Services,New Delhi,$3.5 million,Pre-Series B,"TRTL VC, Inflection Point Ventures, and others"
Ben & Gaws,Manufacturing Tech,New Delhi,$3 million,Pre-Series A,"Physis Capital, ICMG, Inflection Point Ventures"
Miko,Robotics,Mumbai,Rs 20.5 crore,Funding Round,Angel Investors
Cambrian Bioworks,Biotechnology,Bengaluru,$1.45 million,Seed Round,"Irani Family Office, Vaibhav Hegde"
ProFinTech Technologies,Fintech,Hyderabad,$1.4 million,Seed Round,"Family Offices, HNIs"
Sunfox Technologies,Health-tech,Dehradun,Rs 15 crore,Pre-Series A,"Venture Catalysts, others"
Laiqa Wellness,Femtech,Gurgaon,Rs 15 crore,Seed Round,IvyCap Ventures
The Hive Hostels,Hospitality,Mumbai,Rs 11.5 crore,Pre-IPO Funding Round,"Angel Investor, Sixth Sense Ventures, others"
Serigen Mediproducts,Biomedical Products,Pune,Rs 10 crore,Funding Round,"IAN Alpha Fund, Colossa Ventures, angels"
Acadru,Edtech,Gurgaon,$0.5 million,Pre-Series A,"AIG Direct LLC, others"
ODA Class,Edtech,Bengaluru,$500K,Series B,"Skywalker, Daituzi, Matrix Partners China"
Medront,Technology,Mumbai,Rs 1.06 crore,Pre-seed Round,Inflection Point Ventures
Yubi,Fintech,Chennai,$30 million,Equity capital,Gaurav Kumar
Convin,AI,Bengaluru,$6.5 million,Funding Round,India Quotient
Plutos ONE,Digital Services for Banking Sector,New Delhi,$2 million,Seed Round,"StartupXseed, Genesia Ventures, Auxano Capital, Raghuvanshi Investment"
Agrim,B2B Agri-inputs,Gurugram,$17.3 million (Rs 145 crore),Series B,Asia Impact
Baazar Style,Luxury Fashion,Kolkata,Rs 250 crore,-,Anchor Investors
InsurancePadosi,Insuretech,Gurgaon,"$500,000 (or approximately Rs 4.19 crore)",Pre-seed Round,Antler
Finarkein Analytics,Data Analytics,Pune,$4.75 million,Pre-Series A,Nexus Venture Partners
Kreedo,Edtech,Bengaluru,$4 million (Rs 33 crore),Series A,Heritas Capital
99 Pancakes,Quick Service Restaurants,Mumbai,Rs 20 crore ($2.4 million),Series A,Family Office
DeepMatrix,Deep Tech,Bengaluru,$1.6 million,Funding Round,YourNest and Arali Ventures
Hangyo,Food and Beverage,Mangalore,$25 million (Rs 211 crore),Venture Funding,Faering Capital
Livpure,Appliances,Gurugram,INR 208 crore ($25 million),Funding Round,"M&G Investments, Ncubate Capital Partners"
Even Healthcare,Healthcare,Bengaluru,INR 169 crore ($20 million),Funding Round,Khosla Ventures
Axio,Online Lending,Bengaluru,INR 167 crore ($20 million),Right Issue,Existing investors
InvestorAi,Equity Investment Platform,London,INR 80 crore ($10 million),Series A,"Ashish Kacholia, Lucky Investment Managers"
FlexiLoans,Fintech,Mumbai,INR 75 crore ($9 million),Non-convertible debt,JM Financial
Uppercase,Luggage,Bengaluru,$9 million,Funding Round,Accel
Zoff,Spices,Raipur,INR 40 crore ($4.8 million),Funding Round,JM Financial Private Equity
TransBnk,Fintech,New Delhi,$4 million,Series A,"8i Ventures, Accion Venture Lab, GMO Venture Partners, Ratio Ventures, Force Ventures, family offices, angels"
LLUMO AI,AI Optimisation,Noida,$1 million (INR 8 crore),Seed Round,"SenseAI Ventures, India Quotient, AumVC, Venture Catalyst, IIM Indore Alumni Angel fund, other angel investors"
Dopplr,Virtual Try-on Solutions,Bengaluru,"$750,000",Funding Round,"Cornerstone Ventures, U.S-based BAT VC"
Revrag,B2B Sales,Bengaluru,$600K,Pre-Seed Round,"Powerhouse Ventures, Viral Bajaria, Kunal Shah, Deepak Anchala, Vetri Vellore, other angel investors"
NxtQube,Dronetech,Nasik,-,Seed Round,"Pontaq VC, Ananta Bizcon LLP, Rushikesh Bhandari, and others"
Oyo,Hospitality,Gurgaon,"Rs 1,457 crore ($175 million)",Series G,"InCred Wealth, Patient Capital, J&A Partners, Mankind Pharma promoters' family office, ASK Financial"
Ather Energy,EV,Bengaluru,Rs 600 crore ($71 million),Funding Round,National Investment and Infrastructure Fund (NIIF)
Neo,Wealth and Asset Management,Mumbai,Rs 400 crore ($48 million),Series B,"MUFG Bank, Euclidean Capital LLC, Peak XV Partners"
Pakka Limited,Compostable Packaging,Kanpur,Rs 244.7 crore,Funding Round,-
Syfe,FinTech,Gurugram,$27 million (Rs 226 crore),Funding Round,"Valar Ventures, Unbound, two UK family offices"
Vayana,Trade Finance,Pune,$20.5 million,Funding Round,SMBC Asia Rising Fund
Fresh Bus,Electric Intercity Bus,Hyderabad,Rs 87.5 crore ($10.5 million),Series A,"Maniv, Shell Ventures, Alteria Capital, Riverwalk Holdings"
Beco,Eco-Friendly Products,Mumbai,$10 million,Pre-Series B,"Tanglin Venture Partners, Titan Capital Winners Fund, Manish Choksi, Rukam Capital, Synergy Capital"
Innoviti,Payment Gateway,Bengaluru,Rs 70 crore ($8.5 million),Series E,"Random Walk Solutions, Bessemer Venture Partners, Patni Family Office, Alumni Ventures"
Kazam,E-Mobility,Bengaluru,$8 million,Series A3,"Vertex Ventures, Avaana Capital, Alteria Capital"
4baseCare,Healthcare,Bengaluru,$6 million,Series A,Yali Capital
Skydo,Cross-border Payments,Bengaluru,$5 million,Equity Round,"Elevation Capital, Angel Investors"
Fashor,Ethnic Wear,Jaipur,$5 million,Funding Round,Blume Ventures
Infinyte.Club,Wealth Management,Bengaluru,$3.6 million,Funding Round,"Elevation Capital, Angel Investors"
Truva,Real Estate Tech,Mumbai,$3 million,Funding Round,"Stellaris Venture Partners, Angel Investors"
HealthCRED,B2B Healthcare Financing,New Delhi,$1.2 million,Seed Round,"Antler India, TRTL VC, DeVC, iSeedVC, Angel List India"
EyeROV,Marine Robotics,Kochi,Rs 10 Crore ($1.2 million),Pre-Series A,Unicorn India Ventures
Six Sense Mobility,Smart Mobility,Mumbai,Rs 6 crore,Seed Round,Piper Serica VC
Halden,Luxury Men’s Brand,Mumbai,Rs 5 crore,Seed Round,Prajay Advisors
MiClient,AI-driven B2B Sales Platform,Gurugram,Rs 3.9 crore,Seed Round,"IAN Group, Anicut, GSF, RTAF, Keiretsu"
Ziptrrip,Travel-tech SaaS,Mumbai,Rs 2 crore,Pre-Seed Round,Angel Investors
NuvoRetail,E-commerce Marketing,New Delhi,$350k,Funding Round,-
Adukale,FMCG,Bangalore,-,Funding Round,NuVentures
CricHeroes,Sportstech,Ahmedabad,-,Series B1,"Venture Catalysts, Games24x7, WeFounderCircle, Eagle10 Ventures, Ivy Growth"
35North Ventures,Venture capital,Mumbai,Rs 100 crore,Funding Round,-
NuvoRetail,eCommerce Marketing & Analytics,Delhi,$350k,-,-
GenWorks Health,Healthcare,Bengaluru,Rs 41 crore,Funding Round,Evolvence India Fund
Oneiric11 Gaming,Esports and Gaming Platform,Chandigarh,$1 million,Pre-Series A,"NG Family Trust, TAC Holdings"
BiofuelCircle,Marketplace for biomass and biofuel,Pune,Rs 45 crore ($5.3 million),Funding Round,"Spectrum Impact, Angels, Promoters"
FlexiBees,Talent Marketplace,Singapore,,Pre-Series A,Inflection Point Ventures
Absolute Sports,Sports Media,Bengaluru,,Acquisition,Acquired assets of DeltiasGaming.com
Visit Health,Healthcare,"California, US",Rs 250 crore ($29.7 million approx.),Fundraise,"Docprime Technologies, promoters and employees"
ShareChat,Social Media Company,Bengaluru,$16 million,Debt Round,Singapore-based EDBI
Country Delight,Dairy and Essentials,Gurugram,Rs 70 crore ($8.45 million),Debt Funding,Alteria Capital
Agrizy,Agritech,Bengaluru,$9.8 million,Series A,"Accion, Omnivore, Capria Ventures, Thai Wah Ventures, Ankur Capital"
Scimplify,Speciality Chemicals,Bengaluru,$9.5M,Series A,Omnivore and Bertelsmann
Kindlife.in,"Beauty, wellness, and health",New Delhi,$8 million,Series A,"JB-Dooeun, TK Fund, MIXI Global Investments, Kalaari Capital and angel investors"
BlueBinaries Engineering and Solutions,"Engineering, Tech Services",Chennai,Rs 60 crore ($7.2 million),Debt and Equity Round,Anicut Capital
Punch,Stock Broking,Mumbai,$7 million,Seed Funding,"Stellaris Venture Partners, Susquehanna Asia VC, Prime Venture Partners, Innoven Capital"
Metadome.ai,XR Startup,"Troy, Michigan",$6.5 million,Series A,"Siana Capital, Chiratae Ventures, Alteria Capital, 3to-1 Capital, Manish Choksi’s family office"
EthrealX,Healthcare,Bengaluru,$5 million,Seed Round,"YourNest, BIG Global Investments JSC, BlueHill Capital, Campus Fund, Golden Sparrow Ventures"
SigTuple Medtech,Medtech,Bengaluru,Rs 33 crore ($4 million),Series C Extension,Sidbi Venture Capital
Aukera,Lab-grown Jewellery,Bengaluru,Rs 26.7 crore ($3.2 million),Series A,Fireside Ventures
Juleo,Dating App,Delhi,$2.5 million,Funding Round,"Ramakant Sharma, Kunal Shah, Ruchi Deepak, Harsh Jain, Lalit Keshre"
Neuron Energy,EV Batteries,Mumbai,Rs 20 crore ($2.4 million),Series A,"Chona Family, Capri Global Family Office"
FINQY,Fintech,Mumbai,$2 million,Funding Round,"Angel Bay India Accelerator, Family Offices, Private Investors"
Hyperbots,"AI for Finance, Accounting",Dover,$2 million,Seed Round,"Kalaari Capital, Sunicon Ventures, Athera Venture Partners"
Burma Burma,Vegan Restaurant,Mumbai,$2 million,Equity Investment,Several Family Offices
Karma Primary Healthcare,Healthtech,Udaipur,Rs 11 crore ($1.3 million),Series A,"UBS Optimus Foundation, 1Crowd, Others"
Bebe Burp,Baby Food,Surat,Rs 8 crore ($1 million),Pre-Series A,Gruhas Collective Consumer Fund (GCCF)
Cellivate Technologies,Biotech,Singapore,$1 million,Seed Round,"Antler, Venture Catalysts, Hatcher+, We Founder Circle"
CURRYiT,Food and Beverages,New Delhi,Rs 4.5 crore,Seed Round,"RK Family Trust, Tangent Advisors, Freeflow Ventures"
IppoPay,Fintech,Chennai,Undisclosed,Funding Round,"Mithun Sacheti, Siddhartha Sacheti"
Nazara Technologies,"Gaming, Media",Mumbai,$27 Mn,Acquisition,Acquired Fusebox Games Limited
Infibeam Avenues,Fintech,"GiFT, Gandhinagar",54% Stake,Acquisition,Acquired 54% in Rediff.com India Ltd
Nazara Technologies,"Gaming, Media",Mumbai,Undisclosed,Acquisition,Acquired additional 48.42% in Paper Boat Apps (PBA)
Unicommerce,SaaS,New Delhi,Rs 124.5 crore,-,Anchor investors
